id,user_id,project_id,title,description,start_time,end_time,estimated_duration,effort_level,category,priority,status,reward_points,created_at,updated_at
17,1,4,Build Prototype,Develop initial prototype,2025-08-10 11:00,2025-08-10 15:00,240,5,Development,High,in_progress,40,2025-08-04,2025-08-06
18,1,4,Conduct User Testing,Test prototype with users,2025-08-11 09:00,2025-08-11 12:00,180,4,Testing,High,not_started,25,2025-08-04,2025-08-06
19,1,4,Iterate Based on Feedback,Update prototype after feedback,2025-08-11 13:00,2025-08-11 16:00,180,3,Development,Medium,not_started,20,2025-08-04,2025-08-06
20,1,4,Pitch to Stakeholders,Present prototype results,2025-08-12 09:00,2025-08-12 11:00,120,4,Presentation,High,not_started,30,2025-08-04,2025-08-06
21,1,5,Setup Server,Provision cloud server,2025-08-13 09:00,2025-08-13 11:00,120,3,DevOps,High,completed,15,2025-08-05,2025-08-07
22,1,5,Install Dependencies,Setup runtime and libraries,2025-08-13 12:00,2025-08-13 13:00,60,2,DevOps,Medium,completed,10,2025-08-05,2025-08-07
23,1,5,Implement API Endpoints,Add CRUD endpoints,2025-08-14 09:00,2025-08-14 12:00,180,4,Development,High,in_progress,30,2025-08-05,2025-08-07
24,1,5,Secure API,Add JWT and role-based access,2025-08-14 13:00,2025-08-14 15:00,120,3,Security,High,not_started,25,2025-08-05,2025-08-07
25,1,5,Write API Docs,Document endpoints,2025-08-15 09:00,2025-08-15 11:00,120,2,Documentation,Medium,not_started,10,2025-08-05,2025-08-07
26,1,1,Setup Testing Framework,Configure Jest and Cypress,2025-08-16 09:00,2025-08-16 11:00,120,3,Testing,High,not_started,20,2025-08-06,2025-08-08
27,1,1,Write Unit Tests,Add tests for auth and db,2025-08-16 13:00,2025-08-16 15:00,120,3,Testing,High,not_started,20,2025-08-06,2025-08-08
28,1,1,Setup E2E Tests,Full workflow tests,2025-08-17 09:00,2025-08-17 12:00,180,4,Testing,High,not_started,25,2025-08-06,2025-08-08
29,1,2,Plan SEO Strategy,Keyword research,2025-08-18 09:00,2025-08-18 11:00,120,2,Marketing,Medium,not_started,15,2025-08-06,2025-08-08
30,1,2,Implement SEO,On-page SEO,2025-08-18 12:00,2025-08-18 14:00,120,3,Marketing,Medium,not_started,20,2025-08-06,2025-08-08
31,1,3,Add Habit Analytics,Track streaks and completions,2025-08-19 09:00,2025-08-19 11:00,120,3,Analytics,High,not_started,25,2025-08-07,2025-08-09
32,1,3,Integrate Streaks,Add gamification,2025-08-19 12:00,2025-08-19 14:00,120,3,Development,High,not_started,30,2025-08-07,2025-08-09
33,1,4,Expand Prototype,Add more features,2025-08-20 09:00,2025-08-20 12:00,180,4,Development,High,not_started,35,2025-08-07,2025-08-09
34,1,4,Second Round Testing,Run more user tests,2025-08-20 13:00,2025-08-20 15:00,120,3,Testing,High,not_started,20,2025-08-07,2025-08-09
35,1,5,Optimize API Performance,Profiling and tuning,2025-08-21 09:00,2025-08-21 11:00,120,3,Development,Medium,not_started,20,2025-08-08,2025-08-10
36,1,5,Deploy API,Push to production,2025-08-21 12:00,2025-08-21 13:00,60,2,DevOps,High,not_started,15,2025-08-08,2025-08-10
37,1,1,Refactor Code,Improve code quality,2025-08-22 09:00,2025-08-22 11:00,120,3,Development,Medium,not_started,15,2025-08-08,2025-08-10
38,1,2,Launch Paid Ads,Start Google Ads campaign,2025-08-23 09:00,2025-08-23 11:00,120,3,Marketing,High,not_started,25,2025-08-08,2025-08-10
39,1,3,Launch Habit Streaks,Enable streak tracking,2025-08-24 09:00,2025-08-24 10:00,60,2,Development,High,not_started,20,2025-08-08,2025-08-10
40,1,4,Final Presentation,Showcase final prototype,2025-08-25 09:00,2025-08-25 11:00,120,4,Presentation,High,not_started,40,2025-08-08,2025-08-10
